Година на улова;Месец на улова;Място на разтоварване;Вид риба;Дължина;Дата;Общо улов[кг];Средено за деклар.[кг];Брой декларации;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.5;10.01.2008;375;187.5;2;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);22.5;14.01.2008;1170;1170;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);23.75;14.01.2008;525;525;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.45;14.01.2008;375;375;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.5;14.01.2008;600;600;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);22.5;15.01.2008;2625;2625;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);23.75;15.01.2008;1365;1365;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.45;15.01.2008;1910;1910;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.5;15.01.2008;2040;2040;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);22.5;16.01.2008;585;585;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);23.75;16.01.2008;1350;1350;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.45;16.01.2008;885;885;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.5;16.01.2008;1605;1605;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);23.75;17.01.2008;1815;1815;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.45;17.01.2008;2490;2490;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.5;17.01.2008;1845;1845;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);22.5;18.01.2008;1440;1440;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);23.75;18.01.2008;1410;1410;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.45;18.01.2008;2105;2105;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.5;18.01.2008;1860;1860;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);22.5;19.01.2008;1575;1575;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);23.75;19.01.2008;1185;1185;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.45;19.01.2008;1995;1995;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.5;19.01.2008;1980;990;2;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);22.5;20.01.2008;2160;2160;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);23.75;20.01.2008;1815;1815;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.45;20.01.2008;2115;2115;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.5;20.01.2008;4185;2092.5;2;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);22.5;21.01.2008;600;600;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);23.75;21.01.2008;315;315;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.45;21.01.2008;1410;705;2;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.5;21.01.2008;3365;673;5;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);23.75;22.01.2008;825;825;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.45;22.01.2008;465;465;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.5;22.01.2008;1890;945;2;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);22.5;23.01.2008;435;435;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);23.75;23.01.2008;1290;1290;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.45;23.01.2008;780;780;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.5;23.01.2008;465;465;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);23.75;25.01.2008;840;840;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.45;25.01.2008;2085;2085;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);23.75;31.01.2008;300;300;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.45;31.01.2008;570;570;1;
2008;1;Созопол;Цаца (копърка, трицона, шпрот);25.5;31.01.2008;390;390;1;
2008;2;Созопол;Цаца (копърка, трицона, шпрот);22.5;01.02.2008;1740;1740;1;
2008;2;Созопол;Цаца (копърка, трицона, шпрот);23.75;01.02.2008;2295;2295;1;
2008;2;Созопол;Цаца (копърка, трицона, шпрот);25.45;01.02.2008;2370;2370;1;
